سريال تعرفه,كد ملي دارو,قيمت,از تاريخ تاثير قيمت,نام ژنريك,نام تجاري,شكل دارو,بيمارستاني يا تخصص,بيمارستاني,تاريخ تغيير قيمت,نيازمند کميسيون,گروه خدمت,ستاره دار,مجوز تجويز عمومي,مجوز تجويز ماما,بيمه اي,داروخانه مجاز به تاييد,استعلام اصالت,ويژگي,جنسيت مجاز,تعداد در نسخه
1229143,00009 ,500,1401/04/23,ACETAMINOPHEN 80MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1707742,02369 ,42750,1403/04/01,ACETYLCYSTEINE 600MG,,tablet effervescent,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1711528,00123 ,49880,1403/04/16,AZITHROMYCIN DIHYDRATE 250MG,,capsule,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,30
1202579,00195 ,17813,1401/04/23,CALCITRIOL 0.25 MCG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,400
1229408,00203 ,840,1401/04/23,CAMPHOR_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1236718,00219 ,6200000,1401/04/23,CARMUSTINE (BCNU) 100MG,,vial,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1350485,00284 ,1333400,1401/06/15,CHORIONIC GONADOTROPHIN (HUMAN) 1500 U,,vial,نمي باشد,نمي باشد,1401/08/21,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,15
1453447,00290 ,5070,1402/03/01,CIMETIDINE 200MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1637057,00293 ,4070,1402/07/22,CINNARIZINE 75MG,,tablet,نمي باشد,نمي باشد,1402/07/22,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1493418,00309 ,28500,1402/05/01,CLINDAMYCIN HCL 150MG,,capsule,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,240
